Date,Time,Air_Pressure_hPa,Air_Temperature_C,Relative_Humidity_%,Incoming_Short_Wave_Radiation_watts/m2,Outgoing_Short_Wave_Radiation_watts/m2,Incoming_Long_Wave-Red_Radiation_watts/m2,Outgoing_Long_Wave_Radiation_watts/m2,Rain_Rate_mm/h,Rate_Rate_mm/h,Wind_Direction_degree,Wind_Speed_m/s,Wind_Direction_degree.1,Wind_Speed_m/s.1,CO2_Concentration_g/m3,Tower_Position
2004-06-01 00:00:00,259.0,1002.162,15.674000000000001,87.064,0.062,5.21,386.504,397.712,0.0,0.0,281.244,1.1019999999999999,286.698,1.004,1.266,1.0
2004-06-01 00:05:00,759.0,1002.0840000000001,15.703999999999999,86.538,0.098,5.076,386.38,397.644,0.0,0.0,285.16,1.098,281.322,1.0,1.128,1.0
2004-06-01 00:10:00,1259.0,1002.1479999999999,15.738,86.796,0.28200000000000003,5.0200000000000005,386.934,397.826,0.01,0.0,300.398,1.214,300.89,1.1960000000000002,0.8,1.0
2004-06-01 00:15:00,1759.0,1002.14,15.669999999999998,87.44,0.22800000000000004,4.776,386.852,397.38800000000003,0.0,0.0,301.344,1.522,306.52799999999996,1.702,0.72,1.0
2004-06-01 00:20:00,2259.0,1002.106,15.64,88.204,0.33599999999999997,4.6259999999999994,387.364,397.726,0.0,0.0,299.008,1.3880000000000001,303.49,1.3279999999999998,0.718,1.0
2004-06-01 00:25:00,2759.0,1002.076,15.687999999999999,88.37,0.458,4.5,387.408,397.72400000000005,0.0,0.0,309.8,1.434,309.02799999999996,1.388,0.72,1.0
2004-06-01 00:30:00,3259.0,1002.0539999999999,15.697999999999999,88.36800000000001,0.462,4.522,387.404,397.66999999999996,0.0,0.0,300.424,1.224,299.998,1.172,0.72,1.0
2004-06-01 00:35:00,3759.0,1002.048,15.652000000000001,87.11,0.422,4.438000000000001,387.27200000000005,397.298,0.05,0.0,303.844,1.7559999999999998,305.52,1.8,0.724,1.0
2004-06-01 00:40:00,4259.0,1002.0200000000001,15.64,87.514,0.176,4.64,387.13,397.148,0.272,0.0,304.6,1.492,304.024,1.542,0.756,1.0
2004-06-01 00:45:00,4759.0,1002.018,15.622,86.44,0.022,4.896,386.538,397.076,0.0,0.0,314.006,1.9799999999999998,312.252,1.83,0.784,1.0
2004-06-01 00:50:00,5259.0,1002.0219999999999,15.61,86.188,-0.052000000000000005,4.9479999999999995,386.27799999999996,396.856,0.0,0.0,315.952,2.0,316.27200000000005,1.9280000000000002,0.754,1.0
2004-06-01 00:55:00,5759.0,1002.0020000000001,15.597999999999999,86.13199999999999,0.51,4.684,386.48,396.738,0.0,0.0,321.916,1.9920000000000002,324.078,2.0300000000000002,0.748,1.0
2004-06-01 01:00:00,10259.0,1001.99,15.618,86.196,0.7140000000000001,4.488,386.592,396.79200000000003,0.002,0.0,318.474,2.386,318.35,2.25,0.75,1.0
2004-06-01 01:05:00,10759.0,1001.9459999999999,15.534,86.262,0.316,4.618,386.726,396.296,0.608,1.2,307.794,2.188,308.606,2.134,0.746,1.0
2004-06-01 01:10:00,11259.0,1001.9199999999998,15.446000000000002,85.542,0.066,5.282,385.502,395.98,0.07,0.0,317.62199999999996,2.402,316.92199999999997,2.282,0.79,1.0
2004-06-01 01:15:00,11759.0,1001.9,15.412,85.936,0.458,5.672,385.198,395.57,0.21799999999999997,1.2,329.666,2.3560000000000003,332.008,2.2800000000000002,0.694,1.0
2004-06-01 01:20:00,12259.0,1001.896,15.388,85.64,0.5359999999999999,5.92,385.12,395.696,0.41,0.0,306.52200000000005,1.75,306.058,1.798,0.716,1.0
2004-06-01 01:25:00,12759.0,1001.844,15.404,85.87,0.72,5.832,384.89,395.79200000000003,0.06999999999999999,0.0,297.79,1.624,300.982,1.53,0.674,1.0
2004-06-01 01:30:00,13259.0,1001.766,15.408000000000001,85.57000000000001,0.35600000000000004,5.696,384.882,395.906,0.0,0.0,297.678,1.316,297.748,1.174,0.724,1.0
2004-06-01 01:35:00,13759.0,1001.7040000000001,15.4,86.314,0.298,5.401999999999999,385.108,395.87,0.0,0.0,288.822,1.438,287.02200000000005,1.408,0.75,1.0
2004-06-01 01:40:00,14259.0,1001.676,15.502,86.22200000000001,0.5559999999999999,5.1979999999999995,385.366,396.35,0.0,0.0,297.668,1.098,287.746,1.116,0.788,1.0
2004-06-01 01:45:00,14759.0,1001.658,15.504,85.822,0.8019999999999999,5.008,385.386,396.20799999999997,0.0,0.0,275.364,1.8760000000000001,275.294,1.77,0.8300000000000001,1.0
2004-06-01 01:50:00,15259.0,1001.6120000000001,15.526,85.28200000000001,0.6639999999999999,4.936,385.858,396.36800000000005,0.0,0.0,301.446,1.55,299.04,1.464,0.8220000000000001,1.0
2004-06-01 01:55:00,15759.0,1001.702,15.494,84.862,1.048,4.714,385.854,395.98400000000004,0.0,0.0,308.52,2.118,312.83000000000004,2.028,0.9359999999999999,1.0
2004-06-01 02:00:00,20259.0,1001.702,15.518,84.922,1.3679999999999999,4.578,386.412,396.102,0.0,0.0,303.31399999999996,1.69,303.698,1.6280000000000001,0.9460000000000001,1.0
