,Temp_K,SpecHum_Ratio,Press_Pa
2004-06-01 00:00:00,295.48286463892424,0.010007367481319236,100225.13040144579
2004-06-01 00:05:00,290.809382294367,0.010022227254735358,100231.51687834016
2004-06-01 00:10:00,289.6435438019608,0.009992300750973796,100232.17836225076
2004-06-01 00:15:00,290.07039750082856,0.010010180530243516,100232.03153062164
2004-06-01 00:20:00,290.54112024841737,0.010043242770993053,100231.83350412849
2004-06-01 00:25:00,290.5474953099054,0.010067916786848473,100231.77643753914
2004-06-01 00:30:00,290.6051002771111,0.010089458223042275,100231.71715517677
2004-06-01 00:35:00,290.5129528746791,0.010107132943354403,100231.7026930605
2004-06-01 00:40:00,290.55214724010534,0.01012744211850316,100231.63783450033
2004-06-01 00:45:00,290.5185828288614,0.010149122016756322,100231.58434437048
2004-06-01 00:50:00,290.58939954582434,0.010175789549410747,100231.4838002089
2004-06-01 00:55:00,290.5879635612307,0.010204932127906711,100231.39405680305
2004-06-01 01:00:00,290.67290328189654,0.010240745061722449,100231.25978445324
2004-06-01 01:05:00,290.6218632323006,0.010249028953875913,100231.33115489366
2004-06-01 01:10:00,290.58156602764063,0.010236413918065746,100231.43721186681
2004-06-01 01:15:00,290.41282718628264,0.010209749157141863,100231.58404145554
2004-06-01 01:20:00,290.36530814289375,0.010179915583365425,100231.6825276757
2004-06-01 01:25:00,290.25846338178224,0.01019100592042621,100231.79013733906
2004-06-01 01:30:00,290.2474020639711,0.010191912050028874,100231.86344223142
2004-06-01 01:35:00,290.1525432644894,0.010179659191676432,100231.95736868038
2004-06-01 01:40:00,290.14412177574746,0.010161021390152765,100232.02313652808
2004-06-01 01:45:00,290.0522300364822,0.010138842984782648,100232.10920687256
2004-06-01 01:50:00,290.0497744978373,0.010117544324816477,100232.16687846399
2004-06-01 01:55:00,289.96319179504167,0.01009517791112526,100232.24431905831
2004-06-01 02:00:00,289.9673001373306,0.010074399855073165,100232.29405308286
2004-06-01 02:05:00,289.90288481768096,0.010062992304109512,100232.31275708698
2004-06-01 02:10:00,289.94948749238677,0.010058612250521737,100232.29115572872
2004-06-01 02:15:00,289.90681682793115,0.010056957818398403,100232.2920854164
2004-06-01 02:20:00,289.9513588564297,0.010057804948925398,100232.27248469768
2004-06-01 02:25:00,289.8936341595093,0.010018267329222388,100232.28148863053
2004-06-01 02:30:00,289.93239197087036,0.009990669554573572,100232.26600180921
2004-06-01 02:35:00,289.87346049069197,0.009975116209961832,100232.27606840213
2004-06-01 02:40:00,289.9156977620122,0.009968771134894007,100232.25975727853
2004-06-01 02:45:00,289.8569971366001,0.009965964110759994,100232.26963215724
2004-06-01 02:50:00,289.9014552775154,0.009965248955241228,100232.25281582003
2004-06-01 02:55:00,289.84233127317924,0.009965065258787518,100232.26282622648
2004-06-01 03:00:00,289.88854375512733,0.009965836152790928,100232.24568760776
2004-06-01 03:05:00,289.84096864794975,0.009971229188315072,100232.22062074207
2004-06-01 03:10:00,289.9141930619558,0.009982094368898114,100232.15627604461
2004-06-01 03:15:00,289.8821983656547,0.009956105317424484,100232.11669771625
2004-06-01 03:20:00,289.9574466354279,0.009941628407515167,100232.0501964919
2004-06-01 03:25:00,289.9171204342764,0.009939514839402502,100232.01343871732
2004-06-01 03:30:00,289.9885656736409,0.009946720058541395,100231.9478484921
2004-06-01 03:35:00,289.9479103620632,0.009957842220523557,100231.90999759152
2004-06-01 03:40:00,290.0221791885828,0.009972088185098673,100231.84196414053
2004-06-01 03:45:00,289.9831389737358,0.009986304050785011,100231.80182544747
2004-06-01 03:50:00,290.06008808096993,0.010002030937310431,100231.7313157298
2004-06-01 03:55:00,290.02186259160214,0.009980058288348116,100231.68921989009
2004-06-01 04:00:00,290.1007443579016,0.009968880884380815,100231.6161704875
2004-06-01 04:05:00,290.008294919002,0.009944434538482998,100231.7301121605
2004-06-01 04:10:00,289.9825927640556,0.009949086196331313,100231.8493680572
2004-06-01 04:15:00,289.8274895488282,0.009939955997030323,100231.98862951784
2004-06-01 04:20:00,289.82264313981966,0.00992182688980294,100232.06696664839
2004-06-01 04:25:00,289.7228653210687,0.009899325490230142,100232.15250629187
2004-06-01 04:30:00,289.75187272427695,0.009877918736204631,100232.19406981031
2004-06-01 04:35:00,289.65843901662106,0.009856242047025164,100232.25971391318
2004-06-01 04:40:00,289.686652297081,0.009837216617295329,100232.28860090529
2004-06-01 04:45:00,289.59073629166517,0.009858536710665661,100232.34473904756
2004-06-01 04:50:00,289.62055553666016,0.009872177207802098,100232.3643047698
2004-06-01 04:55:00,289.52626165147296,0.00987191445193321,100232.41231164
2004-06-01 05:00:00,289.56438126256785,0.00986700372368008,100232.41962321101
2004-06-01 05:05:00,289.456937210524,0.009852339096686183,100232.50360372623
2004-06-01 05:10:00,289.4676086669505,0.009835934553004345,100232.55753199004
2004-06-01 05:15:00,289.3531828808096,0.009862141353392672,100232.63665368524
2004-06-01 05:20:00,289.37552306654464,0.009879532972552174,100232.6699139128
2004-06-01 05:25:00,289.2758670248742,0.009883562854041905,100232.73521144151
2004-06-01 05:30:00,289.35309112784705,0.009887330752479277,100232.75753192398
2004-06-01 05:35:00,288.96500288769823,0.00987539403652048,100232.89255153172
2004-06-01 05:40:00,289.0714234256949,0.009917966986321036,100232.90692682807
2004-06-01 05:45:00,288.7702397081371,0.009925230909040024,100233.02728279367
2004-06-01 05:50:00,288.94924270398354,0.009931315626180376,100233.00956917231
